City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,davie,26.0629,-80.2331,82.42,59,40,9.22,US,12/05/22
152,saint george,37.1041,-113.5841,55.44,59,40,3.44,US,12/05/22
153,cayenne,4.9333,-52.3333,82.44,74,80,9.22,GF,12/05/22
154,zhezkazgan,47.8043,67.7144,1.4,95,97,4.07,KZ,12/05/22
155,geraldton,-28.7667,114.6,70.21,78,100,14.97,AU,12/05/22
156,tuatapere,-46.1333,167.6833,47.3,91,100,4.81,NZ,12/05/22
157,nyeri,-0.4201,36.9476,55.56,96,99,1.95,KE,12/05/22
158,alta floresta,-9.8756,-56.0861,71.67,98,100,3.53,BR,12/05/22
159,karratha,-20.7377,116.8463,81.12,44,1,14.18,AU,12/05/22
160,ponte de sor,39.2496,-8.0101,56.97,97,100,4.85,PT,12/05/22
161,north platte,41.1239,-100.7654,33.69,55,100,13.8,US,12/05/22
162,norton,-17.8833,30.7,72.28,41,62,4.5,ZW,12/05/22
163,ust-tsilma,65.441,52.1498,3.29,90,50,6.6,RU,12/05/22
164,canyon lake,29.8752,-98.2625,74.59,85,99,5.01,US,12/05/22
165,upernavik,72.7868,-56.1549,26.69,87,33,10.94,GL,12/05/22
166,thompson,55.7435,-97.8558,-11.65,86,50,7.7,CA,12/05/22
167,saint-georges,12.0564,-61.7485,78.75,71,55,9.06,GD,12/05/22
168,severo-kurilsk,50.6789,156.125,23.34,71,100,25.72,RU,12/05/22
169,nemuro,43.3236,145.575,28.47,56,0,13.18,JP,12/05/22
170,ferkessedougou,9.6,-5.2,84.87,34,100,3.62,CI,12/05/22
171,tuskegee,32.424,-85.6916,67.14,83,100,5.55,US,12/05/22
172,kaitangata,-46.2817,169.8464,46.44,94,100,7.05,NZ,12/05/22
173,cordoba,-31.4135,-64.1811,104.41,14,20,13.8,AR,12/05/22
174,talnakh,69.4865,88.3972,25.21,96,100,13.2,RU,12/05/22
175,narsaq,60.9167,-46.05,44.82,72,72,11.07,GL,12/05/22
176,linares,-35.85,-71.6,92.44,11,0,7.72,CL,12/05/22
177,meulaboh,4.1363,96.1285,73.94,94,100,3.31,ID,12/05/22
178,minot,48.2325,-101.2963,10.62,48,100,12.66,US,12/05/22
179,katsuura,35.1333,140.3,50.04,90,100,18.77,JP,12/05/22
180,salinas,36.6777,-121.6555,59.23,78,20,10.36,US,12/05/22
181,north bend,43.4065,-124.2243,51.08,92,40,3.44,US,12/05/22
182,gat,31.61,34.7642,63.28,100,11,3.02,IL,12/05/22
183,airai,-8.9266,125.4092,58.77,71,86,1.45,TL,12/05/22
184,bani,18.2833,-70.3333,82.85,47,2,3.04,DO,12/05/22
185,trelew,-43.249,-65.3051,93.47,12,20,17.27,AR,12/05/22
186,cochrane,51.1834,-114.4687,17.2,67,100,3.98,CA,12/05/22
187,sambava,-14.2667,50.1667,75.97,86,30,11.18,MG,12/05/22
188,khatanga,71.9667,102.5,-27.67,100,14,4.21,RU,12/05/22
189,namibe,-15.1961,12.1522,70.83,77,13,5.66,AO,12/05/22
190,dillon,34.4166,-79.3712,57.25,41,100,3.87,US,12/05/22
191,riohacha,11.5444,-72.9072,82.4,66,70,10.27,CO,12/05/22
192,esna,25.2934,32.554,65.46,50,0,15.99,EG,12/05/22
193,pochutla,15.7432,-96.4661,88.83,41,0,6.46,MX,12/05/22
194,saint-philippe,-21.3585,55.7679,76.59,78,100,11.63,RE,12/05/22
195,chicama,-7.8447,-79.1469,70.34,59,7,10.65,PE,12/05/22
196,caravelas,-17.7125,-39.2481,76.21,77,100,8.1,BR,12/05/22
197,kodiak,57.79,-152.4072,38.71,93,100,10.36,US,12/05/22
198,lander,42.833,-108.7307,41.81,24,0,5.75,US,12/05/22
199,puerto boyaca,5.9758,-74.5885,86.43,58,81,1.9,CO,12/05/22
200,sao filipe,14.8961,-24.4956,72.7,68,33,6.98,CV,12/05/22
201,georgetown,5.4112,100.3354,81.23,85,20,0.0,MY,12/05/22
202,vicuna,-30.0319,-70.7081,89.76,28,0,11.03,CL,12/05/22
203,laem sing,12.4816,102.0738,75.02,83,94,11.27,TH,12/05/22
204,adrar,20.5022,-10.0711,76.96,22,6,2.91,MR,12/05/22
205,abha,18.2164,42.5053,53.85,76,0,4.61,SA,12/05/22
206,yamada,39.4667,141.95,36.66,59,78,2.82,JP,12/05/22
207,umm lajj,25.0213,37.2685,75.88,62,0,6.6,SA,12/05/22
208,pop,40.8736,71.1089,28.89,95,100,2.06,UZ,12/05/22
209,marawi,7.9986,124.2928,67.98,92,100,1.63,PH,12/05/22
210,chuy,-33.6971,-53.4616,75.24,57,0,10.4,UY,12/05/22
211,xai-xai,-25.0519,33.6442,73.53,90,100,19.37,MZ,12/05/22
212,banda aceh,5.5577,95.3222,78.04,81,96,6.53,ID,12/05/22
213,penzance,50.1186,-5.5371,45.28,77,100,20.85,GB,12/05/22
214,pak phanang,8.3511,100.202,78.46,87,100,8.5,TH,12/05/22
215,broken hill,-31.95,141.4333,60.51,48,97,11.1,AU,12/05/22
216,mathbaria,22.2876,89.9593,62.58,57,2,7.09,BD,12/05/22
217,sterling,39.0062,-77.4286,51.55,49,40,11.01,US,12/05/22
218,nikolskoye,59.7035,30.7861,22.91,94,100,6.33,RU,12/05/22
219,marathon,44.9,-89.7668,33.33,65,75,10.36,US,12/05/22
220,mar del plata,-38.0023,-57.5575,92.82,82,0,21.0,AR,12/05/22
221,hamilton,39.1834,-84.5333,48.97,53,100,10.36,US,12/05/22
222,asau,46.4333,26.4,29.32,99,100,3.18,RO,12/05/22
223,anadyr,64.75,177.4833,27.1,92,100,40.26,RU,12/05/22
224,nikolayevsk-na-amure,53.1406,140.73,-6.27,91,98,2.93,RU,12/05/22
225,mirabad,30.4362,61.8383,45.7,48,82,9.62,AF,12/05/22
226,ribeira grande,38.5167,-28.7,63.0,72,40,19.57,PT,12/05/22
227,liaozhong,41.5061,122.7242,19.33,44,0,4.83,CN,12/05/22
228,kahului,20.8947,-156.47,80.62,64,0,9.22,US,12/05/22
229,lufilufi,-13.8745,-171.5986,79.79,74,77,7.16,WS,12/05/22
230,esik,43.3552,77.4525,17.02,94,100,1.86,KZ,12/05/22
231,birjand,32.8663,59.2211,41.22,57,7,1.86,IR,12/05/22
232,dunedin,-45.8742,170.5036,49.8,90,100,8.01,NZ,12/05/22
233,jining,35.405,116.5814,31.78,48,0,4.07,CN,12/05/22
234,carutapera,-1.195,-46.02,81.84,71,100,8.75,BR,12/05/22
235,powell river,49.8496,-124.5361,37.18,100,100,3.44,CA,12/05/22
236,belfast,54.5833,-5.9333,44.42,71,100,9.22,GB,12/05/22
237,lavrentiya,65.5833,-171.0,27.18,90,100,12.06,RU,12/05/22
238,sesheke,-17.4759,24.2968,81.25,34,86,6.13,ZM,12/05/22
239,piranhas,-16.4269,-51.8222,85.77,52,93,7.23,BR,12/05/22
240,mahebourg,-20.4081,57.7,77.29,78,40,10.36,MU,12/05/22
241,christchurch,-43.5333,172.6333,66.33,77,46,1.14,NZ,12/05/22
242,lompoc,34.6391,-120.4579,63.52,68,40,9.22,US,12/05/22
243,hilo,19.7297,-155.09,82.27,72,20,5.99,US,12/05/22
244,raudeberg,61.9875,5.1352,37.96,22,97,19.26,NO,12/05/22
245,tezu,27.9167,96.1667,61.12,37,1,4.38,IN,12/05/22
246,sao joao da barra,-21.6403,-41.0511,78.89,82,77,19.8,BR,12/05/22
247,campbell river,50.0163,-125.2446,36.45,91,96,1.74,CA,12/05/22
248,hasaki,35.7333,140.8333,41.22,85,100,25.57,JP,12/05/22
249,nouakchott,18.0858,-15.9785,73.33,62,51,9.1,MR,12/05/22
250,praia,14.9215,-23.5087,73.94,64,75,10.36,CV,12/05/22
251,ambulu,-8.345,113.6058,75.16,87,100,1.32,ID,12/05/22
252,shadrinsk,56.0852,63.6335,-8.64,100,61,2.19,RU,12/05/22
253,pevek,69.7008,170.3133,-22.95,86,23,5.06,RU,12/05/22
254,viedma,-40.8135,-62.9967,96.26,19,55,20.22,AR,12/05/22
255,karakol,42.4907,78.3936,20.68,76,91,4.7,KG,12/05/22
256,oktyabrskoye,43.0645,44.7417,26.74,93,100,11.18,RU,12/05/22
257,bathsheba,13.2167,-59.5167,84.06,73,20,5.75,BB,12/05/22
258,urucara,-2.5364,-57.76,86.25,59,99,4.0,BR,12/05/22
259,grindavik,63.8424,-22.4338,28.87,100,20,4.61,IS,12/05/22
260,sidrolandia,-20.9319,-54.9614,76.33,80,100,6.6,BR,12/05/22
261,flinders,-34.5833,150.8552,62.06,92,45,7.58,AU,12/05/22
262,leningradskiy,69.3833,178.4167,-15.07,91,4,3.74,RU,12/05/22
263,opunake,-39.4556,173.8583,63.84,74,95,13.0,NZ,12/05/22
264,pitesti,44.85,24.8667,39.67,96,100,3.69,RO,12/05/22
265,mangrol,21.1167,70.1167,70.16,38,0,11.99,IN,12/05/22
266,wanning,18.8003,110.3967,65.61,89,88,11.99,CN,12/05/22
267,kirakira,-10.4544,161.9205,80.37,83,100,4.21,SB,12/05/22
268,mehamn,71.0357,27.8492,33.75,93,100,14.97,NO,12/05/22
269,vao,-22.6667,167.4833,77.65,86,100,12.06,NC,12/05/22
270,ancud,-41.8697,-73.8203,56.3,96,100,18.84,CL,12/05/22
271,porto novo,6.4965,2.6036,80.64,81,52,8.12,BJ,12/05/22
272,lasa,46.6166,10.7002,34.7,93,76,6.42,IT,12/05/22
273,lebu,-37.6167,-73.65,63.36,68,2,6.62,CL,12/05/22
274,mount gambier,-37.8333,140.7667,48.22,81,21,3.85,AU,12/05/22
275,udachnyy,66.4167,112.4,-10.55,76,100,12.64,RU,12/05/22
276,ulladulla,-35.35,150.4667,60.57,86,70,10.07,AU,12/05/22
277,warwick,41.7001,-71.4162,48.29,65,75,9.22,US,12/05/22
278,dzilam gonzalez,21.2833,-88.9333,86.68,47,49,6.55,MX,12/05/22
279,barinas,8.6226,-70.2075,85.44,54,67,0.67,VE,12/05/22
280,bontang,0.1333,117.5,78.39,84,100,0.87,ID,12/05/22
281,turochak,52.2576,87.1224,-5.66,100,79,1.12,RU,12/05/22
